message_id,node_id,scenario_id,course_id,day_index,time_slot,message_type,content,cta_label,cta_action,ab_variant,variant_note,enabled
S_02_D00_1_M01,s02,S_02,,0,即時,text,"プランを選んでいただきありがとうございます！✨

同じプランを選んだ方には、共通点があります。
「環境を変えて、英語も人生も動かしたい」という気持ちです。

今日からあなたが選んだプランに特化した情報をお届けします。
まずはコースの詳細をご覧ください——",,,all,,true
S_02_D00_1_M02,s02,S_02,,0,即時,cta,▶ コース詳細をチェックする,▶ コース詳細をチェックする,,all,,true
S_02_D01_2_M01,s02,S_02,,1,07:00,text,"おはようございます☀️

バリリンガルで過ごす1日をご紹介します。

8:30　海沿いを歩いて学校へ。東南アジアの朝の空気は気持ちいい。
9:00　マンツーマンレッスン開始。前日の復習から入るので置いてけぼりになりません。
11:00　少人数（最大3名）で会話練習。失敗しても笑って直せる環境です。
13:00　チャングーのカフェでランチ＆自習。Wi-Fiも電源も完備。
16:00　授業終了。ビーチ、プール、ヨガ——好きに過ごせます。
19:00　留学生たちと夕飯。全員、英語で話す。これが一番の練習になります。

毎日これを繰り返すと、3週間で「口が動く」感覚が変わります。",,,all,,true
S_02_D02_3_M01,s02,S_02,,2,07:00,text,"今日は卒業生の話をさせてください。

Aさん（32歳・会社員）
「TOEIC 420点で入学。英語コンプレックスをずっと持っていました。バリで3週間過ごして、帰国後4ヶ月でTOEIC 610点に。点数より大きかったのは、英語を話すことへの恐怖がなくなったこと。今は外国人のクライアントを担当しています。」

Bさん（27歳・フリーランス）
「ワーホリ前に2ヶ月滞在。現地で就活して3社から内定をもらいました。バリリンガルで模擬面接を繰り返したことが決め手だったと思います。」

2人に共通するのは、バリで「英語を使う勇気」を手に入れたことです。",,,all,,true
S_02_D02_3_M02,s02,S_02,,2,07:00,cta,▶ 他の卒業生の声を読む,▶ 他の卒業生の声を読む,,all,,true
S_02_D03_4_M01,s02,S_02,,3,07:00,text,"よくある心配に、正直にお答えします。

「英語ゼロでも大丈夫？」
大丈夫です。入学者の約40%が英語ほぼゼロからのスタートです。レベル別に授業を組むので、置いてけぼりにはなりません。

「仕事しながら行けるの？」
可能です。週3日をリモートにあてながら受講した方、有給を使って2週間集中した方、育休中に来た方もいます。

「実際いくらかかるの？」
授業料・宿泊・平日の食事・空港送迎がセット。航空券（3〜7万円）と生活費（1日2,000〜4,000円）を足しても、想像より現実的です。",,,all,,true
S_02_D03_4_M02,s02,S_02,,3,07:00,cta,▶ 費用シミュレーターを使う（無料）,▶ 費用シミュレーターを使う（無料）,,all,,true
S_02_D04_5_M01,s02,S_02,,4,20:00,text,"4日間、読んでいただきありがとうございます。

正直にお伝えします。
バリリンガルは「安い英会話スクール」ではありません。

ただ——「本気で変わりたい人」の英語力と人生を変えてきた実績があります。

今月の残り枠は◯席です。
「迷っているうちに枠が埋まった」という連絡を毎月いただいています。

無料見積りは5分で届きます。まず金額を確認してみてください。",,,all,,true
S_02_D04_5_M02,s02,S_02,,4,20:00,cta,💰 無料見積りを依頼する（5分で届く）,💰 無料見積りを依頼する（5分で届く）,,all,,true
S_02_D04_5_M03,s02,S_02,,4,20:00,cta,💬 30分の無料相談を予約する,💬 30分の無料相談を予約する,,all,,true
S_02_D04_5_M04,s02,S_02,,4,20:00,system,⚙ 完了アクション: フェーズ99 + S_05開始 + メニュー_05切替,,,all,,true
S_03_D00_1_M01,s03,S_03,,0,即時,text,"お見積りをお送りしました📋

金額を見て「思ったより現実的だな」と感じる方が多いです。

含まれるもの：授業料・宿泊（個室）・平日の食事・空港送迎
別途かかるもの：入学金30,000円・航空券・週末の食費

気になる点があれば、このLINEに直接メッセージを送ってください。担当スタッフがお答えします😊",,,all,,true
S_03_D00_1_M02,s03,S_03,,0,即時,cta,▶ お見積りを確認する,▶ お見積りを確認する,,all,,true
S_03_D02_2_M01,s03,S_03,,2,20:00,text,"見積りを見てどう思いましたか？😊

参考までに——見積りを受け取った方のうち、約6割が1週間以内に相談か申し込みに進んでいます。

「やっぱり高いな」と感じた方も、一度相談してみてください。期間やプランの組み合わせで費用を調整できる場合があります。

バリの生活費は日本より安いです。
食事：1食200〜400円 / カフェ：1日500〜1,000円 / マッサージ：800〜1,500円
「生活費がかかって無理」という心配は、現地に来ると消えることが多いです。",,,all,,true
S_03_D05_3_M01,s03,S_03,,5,12:00,text,"見積りから数日が経ちました。

「申し込みたいけど、もう一声ほしい」という方へ——

今月お申し込みの方には、入学金（30,000円）を無料にしています。
来月以降は通常料金に戻ります。

「相談してから決めたい」という方は、30分のオンライン面談でOKです。プラン・時期・費用を一緒に整理します。強引な案内は一切しません。",,,all,,true
S_03_D05_3_M02,s03,S_03,,5,12:00,cta,✅ このまま申し込む（入学金無料）,✅ このまま申し込む（入学金無料）,,all,,true
S_03_D05_3_M03,s03,S_03,,5,12:00,cta,💬 30分だけ話を聞く（無料・勧誘なし）,💬 30分だけ話を聞く（無料・勧誘なし）,,all,,true
S_03_D07_4_M01,s03,S_03,,7,12:00,text,"最後のご連絡です。

今月の残り枠が◯席になりました。

「行きたいな」という気持ちがあるなら、今が一番動きやすいタイミングです。

来月も同じ料金で行けるかどうかは、正直わかりません。
（円安・物価上昇の影響で、料金改定を検討しています）

今なら入学金無料＋バリ観光ツアーをプレゼント。",,,all,,true
S_03_D07_4_M02,s03,S_03,,7,12:00,cta,✅ 今月中に申し込む（特典あり）,✅ 今月中に申し込む（特典あり）,,all,,true
S_03_D07_4_M03,s03,S_03,,7,12:00,cta,💬 まず相談だけする,💬 まず相談だけする,,all,,true
S_03_D07_4_M04,s03,S_03,,7,12:00,system,⚙ 完了アクション: フェーズ99 + S_05開始 + メニュー_05切替,,,all,,true
S_04_D00_1_M01,s04,S_04,,0,即時,text,"今日は時間を作ってくれてありがとうございました😊

話を聞いて、[名前]さんにはバリリンガルが合うと感じました。
（理由は、お話しした通りです）

申し込みはこちらから——フォームに入力するだけで完了です。
迷っている場合は「仮申し込み」という形でも構いません。",,,all,,true
S_04_D00_1_M02,s04,S_04,,0,即時,cta,✅ 申し込みフォームへ（3分で完了）,✅ 申し込みフォームへ（3分で完了）,,all,,true
S_04_D01_2_M01,s04,S_04,,1,20:00,text,"昨日の相談を、改めて整理しました📝

希望プラン：[プラン名]
希望期間：[X]週間
渡航候補：[時期]
懸念点：[相談中に出た懸念点]

懸念点については、[解決策]で対応できます。

「行く」と決めたら、フォームからすぐにお申し込みいただけます。もう一度話したい場合は、このLINEに「もう1回聞きたい」と送ってください。",,,all,,true
S_04_D01_2_M02,s04,S_04,,1,20:00,cta,✅ 申し込みフォームへ,✅ 申し込みフォームへ,,all,,true
S_04_D03_3_M01,s04,S_04,,3,12:00,text,"1つだけ聞かせてください。

今、申し込みを迷っている理由は何ですか？

① お金のこと
② タイミング・時期のこと
③ 効果があるか不安
④ 家族や職場への説明
⑤ その他

「①」の方——費用を抑える方法が2〜3個あります。
「②」の方——今がベストなタイミングである理由をお伝えできます。

このLINEに番号を送ってみてください。個別にお返事します😊",,,all,,true
S_04_D05_4_M01,s04,S_04,,5,12:00,text,"今月末で、今の特典が終わります。

入学金無料（通常30,000円）
バリ観光ツアープレゼント

相談から申し込みまでの平均日数は11日です。
今日で相談から5日目——そろそろ結論が出るタイミングです。

「やっぱりやめる」という結論でも構いません。
ただ「行きたかったけど踏み出せなかった」だけは、避けてほしいと思っています。",,,all,,true
S_04_D05_4_M02,s04,S_04,,5,12:00,cta,✅ 申し込んで特典を受け取る,✅ 申し込んで特典を受け取る,,all,,true
S_04_D05_4_M03,s04,S_04,,5,12:00,cta,💬 もう一度だけ話したい,💬 もう一度だけ話したい,,all,,true
S_04_D05_4_M04,s04,S_04,,5,12:00,system,⚙ 完了アクション: フェーズ99 + S_05開始 + メニュー_05切替,,,all,,true
S_05_D01_1_M01,s05,S_05,,1,12:00,text,"1年後の自分を、少しだけ想像してみてください。

今と何も変わっていない自分と、
英語が話せて、選択肢が広がった自分。

どちらに近づきたいですか？

「いつか行こう」は、いつまでも「いつか」のままです。
バリリンガルに来た方たちはみんな「もっと早く来ればよかった」と言います。",,,all,,true
S_05_D01_1_M02,s05,S_05,,1,12:00,cta,▶ まずコースだけ見てみる,▶ まずコースだけ見てみる,,all,,true
S_05_D07_2_M01,s05,S_05,,7,12:00,text,"今日はバリの話をします🌴

「チャングー」というエリアをご存知ですか？
世界中のリモートワーカーや英語学習者が集まる、今最も注目されている場所の1つです。

ここに来ると気づくことがあります。
「英語って、勉強するものじゃなくて、使うものだ」と。

授業後にカフェでオーストラリア人と話す。ビーチで南アフリカ人にサーフィンを教わる。シェアハウスでドイツ人と料理を作る。

こういう「偶然の英語」が、実力を一番伸ばします。",,,all,,true
S_05_D07_2_M02,s05,S_05,,7,12:00,cta,▶ チャングーの環境を詳しく見る,▶ チャングーの環境を詳しく見る,,all,,true
S_05_D14_3_M01,s05,S_05,,14,12:00,text,"「バリ留学、実際いくらかかるの？」
よく聞かれるので、正直に書きます。

バリリンガルの費用に含まれるもの
授業料（週15〜25コマ）/ 個室宿泊 / 平日の食事（朝・昼）/ 空港送迎

別途かかるもの
航空券：往復3〜7万円（LCC利用の場合）
週末の食費：1日1,000〜2,000円
マッサージ・観光など：気分次第

1ヶ月で換算すると、日本で英会話スクールに通い続ける費用とそれほど変わらない方も多いです。

気になる方は、費用シミュレーターで試算してみてください。",,,all,,true
S_05_D14_3_M02,s05,S_05,,14,12:00,cta,💰 費用シミュレーターで計算する（無料）,💰 費用シミュレーターで計算する（無料）,,all,,true
S_05_D21_4_M01,s05,S_05,,21,20:00,text,"少しだけ、卒業生の話をさせてください。

Cさん（29歳・会社員）
「転職活動で英語力が武器になりました。面接官に『この英語力、どこで身につけたんですか？』と聞かれて。バリリンガルって答えたら話が盛り上がって、内定をもらいました。」

Dさん（34歳・主婦）
「育休中に3週間来ました。子どもが生まれてからずっと自分のことを後回しにしていたので。帰国してから英語を使う仕事のパートを見つけて、今は週3日働いています。あの3週間は、私の人生で一番大事な投資でした。」

2人に共通しているのは「行動した」という事実だけです。",,,all,,true
S_05_D35_5_M01,s05,S_05,,35,12:00,text,"GW・夏休み・年末年始——その2〜3ヶ月前から、問い合わせが急増します。

今がそのタイミングです。

毎年「枠が取れなかった」という連絡をいただきます。
人気の時期は、予約が入ってから1週間で満席になることもあります。

「いつか行こう」の「いつか」が、今です。
無料見積りだけでも、取り寄せてみてください。後から断ることもできます。",,,all,,true
S_05_D35_5_M02,s05,S_05,,35,12:00,cta,💰 無料見積りを取り寄せる（後から断れます）,💰 無料見積りを取り寄せる（後から断れます）,,all,,true
S_05_D35_5_M03,s05,S_05,,35,12:00,cta,💬 30分だけ話を聞く,💬 30分だけ話を聞く,,all,,true
S_05_D42_6_M01,s05,S_05,,42,12:00,text,"これが最後のメッセージです。

このメッセージを読んでいるということは、まだ「行きたい」という気持ちが残っているのだと思います。

その気持ちを大切にしてください。

「やらなかった後悔」は「やった後悔」より長く続きます。

今月中に動いた方には、入学金無料＋バリ観光ツアーをご用意しています。
次にご連絡するのは、また気持ちが動いたときで構いません。",,,all,,true
S_05_D42_6_M02,s05,S_05,,42,12:00,cta,✅ 最後の特典つきで申し込む,✅ 最後の特典つきで申し込む,,all,,true
S_05_D42_6_M03,s05,S_05,,42,12:00,cta,💰 まず見積りだけ確認する,💰 まず見積りだけ確認する,,all,,true
S_05_D42_6_M04,s05,S_05,,42,12:00,system,⚙ 完了アクション: タグ[配信停止] + フェーズ99,,,all,,true
S_CHAT_D01_1_M01,schat,S_CHAT,,1,12:00,text,"昨日はLINEを追加してくれてありがとうございます😊

「チャットで相談したい」と選んでいただきましたね。

担当スタッフが対応します。
今、気になっていることを教えてください。",,,all,,true
S_CHAT_D03_2_M01,schat,S_CHAT,,3,12:00,text,"改めてご連絡します😊

「相談しようと思っていたけど、なんとなく後回しに…」という方、多いです。

まずは見積りだけ取り寄せてみませんか？

料金を見てから「やっぱりやめる」という判断でも全然OKです。
見積りを受け取った方の6割以上が「思ったより安かった」とおっしゃっています。",,,all,,true
S_CHAT_D03_2_M02,schat,S_CHAT,,3,12:00,cta,💰 無料で見積りを取り寄せる,💰 無料で見積りを取り寄せる,,all,,true
S_CHAT_D05_3_M01,schat,S_CHAT,,5,20:00,text,"最後にもう一度だけ😊

決めなくて大丈夫です。
「話を聞いてみる」だけでも、きっと何かが動きます。

30分のオンライン相談で、疑問に全部お答えします。
費用・時期・英語レベル・仕事との両立——何でも聞いてください。

「相談したら断りにくくなりそう」という心配は不要です。強引なご案内は一切しません。",,,all,,true
S_CHAT_D05_3_M02,schat,S_CHAT,,5,20:00,cta,💬 30分だけ話を聞く（勧誘なし）,💬 30分だけ話を聞く（勧誘なし）,,all,,true
S_CHAT_D05_3_M03,schat,S_CHAT,,5,20:00,cta,💰 見積りだけ確認する,💰 見積りだけ確認する,,all,,true
S_CHAT_D05_3_M04,schat,S_CHAT,,5,20:00,system,⚙ 完了アクション: 成約時はS_06開始 / 未成約時はS_05開始 + メニュー_05切替,,,all,,true
