rank,pref_code,pref_name,value,unit,note,good_point,caution_point
22,熊本,熊本県,15,点,くまモンの里,馬刺しユッケを地元価格で食べられる幸福,阿蘇の道がカーブ連続で同乗者が確実に酔う
23,岐阜,岐阜県,13,点,白川郷,飛騨牛の握り寿司を食べ歩きできる,関ヶ原あたりの冬の雪が突然キレる
24,新潟,新潟県,12,点,米と酒の国,へぎそばの喉越しで日本酒が無限に進む,冬の雪下ろしが週2回のノルマになる
25,鹿児島,鹿児島県,12,点,桜島＆屋久島,黒豚しゃぶしゃぶのアクの少なさに驚く,桜島の灰が洗濯物を毎日グレーにする
26,岡山,岡山県,11,点,晴れの国,白桃が産地価格で1個200円台で買える,晴れの国を自称してるのに災害時の備えが甘い
27,群馬,群馬県,11,点,温泉王国,水沢うどんのコシが顎を鍛えてくれる,かかあ天下がガチで夫の発言権が薄い
28,宮城,宮城県,11,点,仙台＆松島,牛タン定食のテールスープが本体まである,仙台以外を宮城と認識してもらえない
29,鳥取,鳥取県,11,点,砂丘の絶景,砂丘の風紋が朝一番だけ見られる芸術品,スタバ開店がニュースになるレベルの田舎感
30,青森,青森県,10,点,ねぶた祭り,大間のマグロを漁港で食べると概念が変わる,方言がガチで聞き取れない
31,和歌山,和歌山県,9,点,熊野古道,那智の滝を見上げるだけで浄化される,みかん農家の急斜面が足腰を破壊する
32,島根,島根県,9,点,出雲大社,出雲そばの三段割子が見た目から楽しい,県の形を正確に描ける県外民がほぼいない
33,山口,山口県,9,点,角島大橋,瓦そばの焼きパリ感がクセになる,フグをふくと呼ばないとやんわり訂正される
34,福島,福島県,8,点,会津の歴史,喜多方ラーメンの朝ラーが7時から食べられる,会津と浜通りで天気が真逆すぎて服装に困る
35,富山,富山県,7,点,立山黒部,回転寿司のレベルが東京の高級店と張る,冬のブリしゃぶの誘惑で食費が崩壊する
36,栃木,栃木県,7,点,日光東照宮,宇都宮餃子は3店舗ハシゴがちょうどいい,日光の紅葉渋滞がいろは坂で3時間コース
37,滋賀,滋賀県,7,点,琵琶湖,琵琶湖のほとりで食べる近江牛が贅沢,滋賀って何があるんが挨拶代わりに飛んでくる
38,山形,山形県,6,点,蔵王＆温泉,さくらんぼ狩りで佐藤錦を30分食べ放題,冬の地吹雪でホワイトアウトが普通にある
39,秋田,秋田県,6,点,なまはげの里,きりたんぽ鍋の比内地鶏スープが完璧,冬の日照時間が短すぎて15時で暗くなる
40,高知,高知県,6,点,四万十川,カツオの藁焼きタタキが皮パリで別次元,お酒の返盃文化で強制的に酔わされる
41,愛媛,愛媛県,6,点,道後温泉,蛇口からポンジュースが空港で本当に出る,しまなみ海道が気持ちよすぎて帰りたくなくなる
42,岩手,岩手県,5,点,平泉の世界遺産,わんこそば100杯チャレンジが意外といける,県土が広すぎて県内移動が隣県より遠い
43,福井,福井県,4,点,恐竜博物館,越前がにの茹でたてが漁港で食べられる,恐竜推しが強すぎて駅前が白亜紀
44,茨城,茨城県,3,点,ひたち海浜公園,那珂湊の回転寿司がネタ爆盛りで500円台,魅力度最下位をもはやネタにしてる
45,埼玉,埼玉県,3,点,川越の小江戸,川越の小江戸で芋スイーツ食べ歩き三昧,何もないと自虐するのが県民のアイデンティティ
46,佐賀,佐賀県,3,点,有田焼の里,呼子のイカの活造りが透明で甘すぎる,はなわの歌のせいで永遠にイジられる
47,徳島,徳島県,2,点,阿波おどり,徳島ラーメンの生卵トッピングが革命的,阿波踊りの季節だけ人口が3倍になって混乱
